Loci,Epistasis,Polymorphism,Shannon Diversity,Nucleotide Diversity,Slope,Invasion Genotypes: Pareto,Invasion Genotypes: Interp
9,1,True,0.677179696788443,0.48367504719141374,21458.865221927615,3.0,3.0
9,1,True,0.3651195655866416,0.1049119939266277,27864.58330522544,2.0,1.0
9,1,False,2.1299048876367967e-11,7.354782609903951e-13,27354.466704244813,0.0,0.0
9,1,False,8.296791632575553e-18,1.9252755500675433e-19,49187.57777667678,0.0,1.0
9,1,True,0.2687241531509506,0.07016784421652568,20992.11555576503,1.0,2.0
9,1,False,2.2457838945970964e-22,4.1268947386657994e-24,25167.467666428798,0.0,0.0
9,1,False,1.3423288349464679e-06,7.725055384652607e-08,33937.44338425181,0.0,1.0
9,1,False,7.749108712629354e-21,1.5429344956822066e-22,58193.42177225357,0.0,0.0
9,1,False,1.6253783620636914e-08,7.37895362548606e-10,33799.34423230188,0.0,0.0
9,1,False,2.57968832433866e-06,1.5429792292511226e-07,32620.628398802015,0.0,1.0
9,1,True,0.336383534498035,0.18828202306840303,8478.390367139244,4.0,154.0
9,1,True,0.6602424085234648,0.2337288755991682,37492.860357675236,1.0,1.0
9,1,False,2.673432665795708e-17,6.285409447487895e-19,38894.87683731084,0.0,1.0
9,1,True,0.6640270081570098,0.23558175367049267,42821.62004208518,1.0,0.0
9,1,False,0.06031654704716041,0.010828765060406859,48212.6054415107,1.0,0.0
9,1,False,8.3295220761529e-12,2.7437079119918317e-13,23507.798326343214,0.0,0.0
9,1,False,3.6157727489158104e-10,1.3845598949522471e-11,29465.821584360692,0.0,0.0
9,1,False,7.341465181536804e-09,3.211619477734629e-10,33710.0166878485,0.0,0.0
9,1,False,1.2208169035961249e-06,6.980349133434732e-08,34263.01451879172,0.0,0.0
9,1,False,4.405309899717279e-08,2.0996117115603177e-09,56208.37889563789,0.0,0.0
9,1,True,0.6770204879889146,0.24198008457221543,19684.30234604652,1.0,0.0
9,1,True,0.4351114543547718,0.1325346742368127,43361.09486216609,1.0,0.0
9,1,False,1.8942936231279677e-06,1.1136027566034534e-07,42629.56502089739,0.0,0.0
9,1,True,0.503658101246059,0.16141102801755278,22788.903228413623,3.0,1.0
9,1,False,1.131683199474424e-19,2.3748237836406053e-21,34087.0989358942,0.0,0.0
9,1,False,8.350958898915883e-07,4.670723910402551e-08,30380.03951213661,0.0,0.0
9,1,True,0.6771154327277216,0.7260811640701712,21169.912253100156,3.0,147.0
9,1,False,7.181949625185908e-13,2.2138571770513808e-14,60941.360719236734,0.0,1.0
9,1,False,1.300279343420324e-09,5.271520312043985e-11,40792.289991954145,0.0,0.0
9,1,True,0.32879829857122755,0.0913556541360202,27256.80580887946,4.0,0.0
9,1,False,1.314352506631154e-14,3.6025096404774027e-16,40969.870822564706,0.0,0.0
9,1,False,2.473728092569348e-06,1.458358472459911e-07,47587.334275495465,0.0,1.0
9,1,True,0.5174520595019987,0.502297092257758,26402.508635479884,4.0,12.0
9,1,False,3.0059350971974848e-18,6.811058821473313e-20,38253.739161089645,0.0,0.0
9,1,False,1.3453132703408486e-05,9.017484195242085e-07,24294.673279648287,0.0,1.0
9,1,False,2.6152770149969805e-22,4.847747707754291e-24,42032.61682956959,0.0,0.0
9,1,True,0.6600447993634939,0.23363225969322876,36160.19174372788,2.0,1.0
9,1,False,2.0828630411043596e-09,8.615831158298771e-11,42194.80627275676,0.0,1.0
9,1,True,0.5534754925797606,0.18347791204688996,49111.55961774611,2.0,0.0
9,1,True,0.5713600904756764,0.1916133470414775,35781.2044279055,1.0,0.0
9,1,True,0.5596115693950532,0.18626176122871105,31012.513865733923,1.0,0.0
9,1,False,1.2944622034016252e-08,5.81372375159692e-10,21867.447583367742,0.0,8.0
9,1,True,0.6200188668990543,0.2143362262065083,27832.93524560957,2.0,1.0
9,1,False,4.904667590086545e-06,3.0658431109589737e-07,27127.549280074672,0.0,3.0
9,1,True,0.519008269135723,0.16811565854111693,43077.409496161985,4.0,1.0
9,1,True,0.5431932372654604,0.1787611054673093,33922.436101434854,4.0,0.0
9,1,False,1.4264865410084524e-05,9.601948870229183e-07,29293.950296689214,0.0,0.0
9,1,True,0.6917749422781797,0.24931419472938307,24278.64986136582,1.0,0.0
9,1,False,1.8530982033958755e-10,6.792275130748857e-12,29177.251241895385,0.0,0.0
9,1,False,1.4562964206495838e-11,4.964962913149273e-13,16026.007236341928,0.0,1.0
9,1,True,0.25693783431417816,0.06619929126536223,21777.88208924037,1.0,1.0
9,1,True,0.11817830397493646,0.02470521975920298,33616.05362230534,2.0,0.0
