Loci,Epistasis,Polymorphism,Shannon Diversity,Nucleotide Diversity,Slope,Invasion Genotypes: Pareto,Invasion Genotypes: Interp
9,0,False,4.888105199673033e-13,1.4883889647233756e-14,37828.45616989634,0.0,0.0
9,0,False,1.6608373604445548e-09,6.803649876655843e-11,62954.858846337745,0.0,1.0
9,0,False,1.0387238159456305e-06,5.885728069677945e-08,64462.23926464476,0.0,0.0
9,0,False,2.425500731368843e-09,1.0074988718380293e-10,23171.531659514945,0.0,0.0
9,0,False,2.2991941476615162e-08,1.0478015825626726e-09,33560.21169762143,0.0,0.0
9,0,False,0.0030476784584634138,0.0003388427494078707,35490.36663163123,1.0,0.0
9,0,True,0.423416533645752,0.12778558572234058,45206.03467355753,1.0,0.0
9,0,False,1.6353322033516748e-15,4.337150822716593e-17,39652.80026177612,0.0,0.0
9,0,False,1.964034367764984e-06,1.157214796509363e-07,52631.70706713501,0.0,0.0
9,0,False,1.2987728712952212e-06,7.459383511910657e-08,60110.27822561496,0.0,0.0
9,0,False,3.9023514200612205e-09,1.6590964563770928e-10,39787.80356637429,0.0,0.0
9,0,True,0.4393625476431519,0.134214710812438,28944.4071496065,6.0,0.0
9,0,True,0.6491809559662621,0.22752191830218488,29358.565352987454,2.0,2.0
9,0,False,1.6054476485575636e-15,4.2564606136957605e-17,68713.71935721842,0.0,0.0
9,0,True,0.6223682793268319,0.21545360809128714,30938.25269423354,1.0,0.0
9,0,False,4.126792673013819e-06,2.547143882495019e-07,50929.56424918604,0.0,0.0
9,0,True,0.6930713566551766,0.24996208900410427,48693.80914618627,1.0,0.0
9,0,True,0.6692537148382259,0.23814560786064232,53541.672142807525,2.0,0.0
9,0,True,0.4771628857341345,0.1500412854851681,44474.78364711136,1.0,0.0
9,0,False,1.6119595952511215e-08,7.241315159943433e-10,60202.90947983024,0.0,1.0
9,0,False,6.400429424325255e-17,1.5610353059403105e-18,33158.1839064598,0.0,0.0
9,0,True,0.5139859234246811,0.1659117201370829,58409.69831231573,1.0,1.0
9,0,False,7.498377535922978e-06,4.78042179006211e-07,36063.90975157751,0.0,0.0
9,0,False,5.375885454905156e-05,3.926528175729777e-06,48815.46983354974,0.0,0.0
9,0,False,3.639848914051408e-11,1.282426973935457e-12,70821.16573098807,0.0,0.0
9,0,False,0.012617974572586054,0.001709357258268901,29189.820724394245,0.0,0.0
9,0,False,2.061725484680815e-06,1.21847824215459e-07,49513.02964656458,0.0,1.0
9,0,True,0.47421611146534176,0.14878045495106382,66837.31726164519,2.0,0.0
9,0,False,1.0030322344389621e-06,5.671586045375506e-08,42727.27774533904,0.0,0.0
9,0,False,3.3018288683765092e-12,1.0694376763474898e-13,46526.559184314116,0.0,0.0
9,0,False,1.1205670145062848e-06,6.378486795424786e-08,54810.21792713983,0.0,0.0
9,0,False,9.202486811265846e-09,4.067802315789052e-10,30432.72732105232,0.0,0.0
9,0,False,9.904936138877276e-17,2.4389357367749704e-18,57730.77530397384,0.0,1.0
9,0,False,2.6111247722302003e-05,1.8376300970143075e-06,50618.81124888734,0.0,0.0
9,0,False,2.8982716097407994e-06,1.6915531448523294e-07,22895.03441285936,0.0,2.0
9,0,False,0.0004214578738991373,3.6632566953240266e-05,16664.35291203726,0.0,0.0
9,0,True,0.600480851100011,0.20511673305168143,39801.112621020315,1.0,1.0
9,0,True,0.6832826201141264,0.2450839594331284,32670.305217212,1.0,2.0
9,0,True,0.28704700572527364,0.07321357455814544,26250.704443931147,1.0,1.0
9,0,False,5.45588414639478e-13,1.667231880722877e-14,33853.72749190655,0.0,0.0
9,0,True,0.5814370580124741,0.19625803081421048,54638.12467095995,3.0,0.0
