Polymorphism,PIPMin: Pareto,PIPMin: Polynomial,PIPMin: Linear,Shannon Diversity,Nucleotide Diversity,Slope
True,1.0,5.0,122.0,0.6671231729314715,0.23710126886516342,0.042844477616331623
True,2.0,0.0,95.0,0.4993691544349681,0.31905196515648854,0.28917852280806877
True,1.0,0.0,49.0,0.5757150320542503,0.19362106486777164,0.9338493858874993
True,1.0,32.0,8.0,0.32228774310576025,0.08898392562219057,0.1852413096044304
False,0.0,0.0,0.0,5.5296615593289585e-08,2.665828440080281e-09,0.5933009527871853
True,1.0,4.0,142.0,0.5953943985365747,0.40547653845616194,0.3855050246065134
True,1.0,1.0,36.0,0.4575306213069336,0.2835699552044013,0.7142190011518187
True,3.0,115.0,183.0,0.5275744902732704,0.34378634450462214,0.29494895238754226
False,0.0,0.0,0.0,8.201748599679439e-27,1.2720846635085957e-28,0.8033671616269497
False,0.0,0.0,0.0,1.0583975081479934e-07,5.243891574376545e-09,0.3484666284429521
False,0.0,0.0,0.0,2.159271861777275e-05,1.4983312797720864e-06,0.8747972950848723
False,0.0,0.0,0.0,7.790964350457014e-14,2.2411511080747707e-15,0.5049234951305311
False,0.0,1.0,0.0,0.00010657714541281381,8.40027496758685e-06,1.0682065225147088
False,0.0,0.0,0.0,8.088602020803373e-11,2.935453196110565e-12,0.2754113454730693
True,1.0,0.0,31.0,0.6754186657702775,0.9647518870470516,0.10951717690453452
False,0.0,0.0,0.0,8.187360480756417e-09,3.599627615928729e-10,0.3927357347508842
False,0.0,0.0,0.0,5.231515568038918e-11,1.8679846587586307e-12,0.7736433941042734
True,1.0,0.0,9.0,0.6744015335745219,0.4813047276568431,0.7983389740875385
True,5.0,217.0,199.0,0.5178203757439327,0.8379695806373688,-0.3685218290076037
False,0.0,0.0,0.0,6.689515067418594e-23,1.2147851461860106e-24,0.3895371674119549
False,0.0,70.0,13.0,1.3201986008275e-05,1.6721736702133014e-06,0.1554445051494257
False,1.0,4.0,74.0,2.0050469843117725e-06,1.1618530715825934e-07,0.5847088251259682
False,0.0,0.0,0.0,1.3079422001330184e-15,3.450535245090661e-17,1.1702099303588205
True,1.0,16.0,68.0,0.34169878799232145,0.3844315452649353,0.5551772352935883
False,0.0,0.0,0.0,5.212139565753502e-31,7.040228788801755e-33,1.043077040558902
False,0.0,0.0,0.0,4.6558201273799726e-10,1.8090970199198934e-11,0.6487808666467116
False,0.0,0.0,0.0,0.0024140605688617767,0.0005216097672928486,0.2581103510389159
False,0.0,0.0,0.0,1.1131142853069197e-19,2.3432156634280305e-21,1.2622771896126508
True,2.0,147.0,187.0,0.49724602936275186,0.47590713905920906,0.3795887331994725
False,0.0,0.0,0.0,2.0505498921294967e-27,3.120810820099133e-29,0.6302232741562724
True,2.0,0.0,49.0,0.2025905196674907,0.19499955049046017,0.32477622142057716
False,0.0,0.0,0.0,2.7982274581782632e-18,6.329912594901292e-20,0.793232807430241
True,3.0,1.0,145.0,0.5447254920734776,0.17954043961084168,0.2818286724151465
False,0.0,0.0,0.0,2.4215858948643218e-15,6.493788977721518e-17,1.5051471302340325
False,0.0,0.0,0.0,5.285251891414721e-44,5.067494178233868e-46,0.9916237105819595
False,0.0,0.0,0.0,2.67614135337588e-12,8.609376807062205e-14,0.9793321962777611
False,0.0,0.0,0.0,1.499048020616499e-16,3.7356080032354486e-18,0.5945384334504071
True,1.0,13.0,20.0,0.47100894235925383,0.29487544835710466,0.09528859906935322
False,0.0,0.0,0.0,7.131944489041209e-23,1.296664198927193e-24,0.9430484247283599
True,1.0,0.0,96.0,0.38121887755340955,0.22218723563628695,0.3158220978588629
False,0.0,0.0,0.0,2.1407032795462867e-12,6.836168127273071e-14,1.3711549113766237
False,0.0,1.0,0.0,1.7951425104335762e-12,5.60548042497803e-14,0.6700471382712888
True,3.0,3.0,151.0,0.5999086562641448,0.20483762352886567,0.12044683129416257
False,0.0,1.0,0.0,3.5554555123117573e-10,1.3666378913001517e-11,1.0015180716830299
False,0.0,0.0,0.0,2.0374339287300526e-14,5.644794489630138e-16,0.7940256087888069
True,1.0,0.0,26.0,0.6232299671300899,0.21586405867366687,1.0140145966416343
False,0.0,1.0,0.0,8.19720061254715e-16,2.1355080964736706e-17,0.3067992983170538
False,0.0,0.0,0.0,2.4231799593271624e-11,8.412710132446186e-13,0.8877271133223031
False,0.0,0.0,0.0,2.5068916354484398e-08,1.162046032810096e-09,0.6529892452194912
True,1.0,0.0,62.0,0.47776449292238554,0.4508890613355777,1.4553144494104113
True,1.0,0.0,28.0,0.6170041840261107,0.21290507688536198,0.9875956992153266
False,0.0,80.0,0.0,0.011859606443167931,0.001591321818327392,0.011775232256859754
False,0.0,0.0,0.0,5.089982496622348e-08,2.4436071331333348e-09,-0.01973803438871634
False,0.0,1.0,0.0,2.074398841240078e-24,3.5397389109688025e-26,0.9515856814614212
True,1.0,1.0,28.0,0.5917414508615871,0.2010356789770831,0.6284307662209867
True,1.0,1.0,36.0,0.638365895495762,0.8924530511802812,0.8099569175659974
True,2.0,0.0,75.0,0.5573974644695967,0.370514073252798,1.1427980784889062
True,1.0,2.0,7.0,0.15888416211276404,0.03579994914110686,0.6081795257542743
False,0.0,1.0,0.0,1.3142577722290882e-14,3.5315162623740355e-16,0.5768700180841043
False,0.0,0.0,0.0,7.494738869569854e-06,4.821299765706634e-07,0.7009106886913844
False,0.0,1.0,0.0,2.3823835310514635e-16,6.008012567406535e-18,1.466658743165252
False,0.0,0.0,0.0,8.512540994305165e-07,4.7664894341684266e-08,0.8931317266291803
True,0.0,222.0,167.0,0.6732744409721199,0.4802592544503208,0.0936307860272073
True,1.0,1.0,18.0,0.6116793384931084,0.21038487333818645,1.7281141634084305
True,1.0,1.0,126.0,0.469399701377899,0.8805553956671444,0.4175432139488548
False,0.0,0.0,0.0,4.260406255394662e-06,2.527859637230718e-07,-0.031889653471921325
False,0.0,0.0,0.0,1.7855506417331946e-16,4.469547969132675e-18,1.3771379775811314
True,2.0,1.0,18.0,0.3454598345516591,0.2925145693650135,0.5974172472381708
False,0.0,0.0,0.0,9.462978009033092e-13,2.9220280447014735e-14,0.34238987934048093
False,0.0,0.0,0.0,2.092270335916807e-06,1.2376735616081245e-07,1.6703166343039073
False,0.0,0.0,0.0,1.1749134910625037e-18,2.605471215946436e-20,0.5991963010867185
False,0.0,0.0,0.0,1.3405259725808773e-09,5.4416952808368686e-11,1.2114420251950448
True,2.0,0.0,81.0,0.6860628584591969,0.738346022777948,0.39467005905039954
True,2.0,2.0,56.0,0.17133934235016984,0.15754401226775117,0.27906264074437964
False,0.0,0.0,0.0,7.487650794439442e-15,2.0102326510439207e-16,1.7077726955080212
True,1.0,0.0,24.0,0.35953650573441903,0.10279279335569981,0.6309556842236377
True,2.0,2.0,79.0,0.8799667282170691,0.5339102093366014,-0.04083453564996781
False,0.0,0.0,0.0,9.147457120272608e-18,2.1276065924982071e-19,0.7618475803965346
False,0.0,0.0,0.0,4.4078122630514586e-09,1.8843010002791114e-10,0.533946158143962
True,2.0,162.0,68.0,0.5872870910489741,0.5968975593290342,0.6341839962467927
False,0.0,5.0,0.0,2.3328354694298367e-13,6.940262140942311e-15,0.4300308495571496
True,0.0,6.0,86.0,0.6070732879274398,0.20821278818837818,0.13800165300683703
True,2.0,1.0,118.0,0.38246162648518406,0.11157513289796453,0.8815220164512947
True,2.0,230.0,168.0,0.6579982375978495,0.6978972647074181,0.40228901196266326
True,2.0,0.0,58.0,0.6780152512162243,0.48494455114684415,0.7628732175142005
False,0.0,0.0,0.0,3.146850808309466e-14,8.821488455729672e-16,1.1857807929778215
False,0.0,1.0,0.0,2.8787190414754246e-20,5.888845226712343e-22,0.2969542138562263
True,1.0,0.0,45.0,0.376019971284167,0.5454297702957782,0.7049666281277472
True,3.0,0.0,86.0,0.681808434567204,0.7330252406254905,0.21474282364811897
False,1.0,0.0,12.0,3.5969406809752876e-08,1.6971239705049652e-09,0.4243571202736885
False,0.0,0.0,0.0,2.916798140195005e-29,4.169696150847317e-31,1.60693912273841
True,1.0,0.0,121.0,0.6285372496373665,0.21839697730359528,0.6921594553348417
False,0.0,0.0,0.0,0.00034133448406627155,2.989403158619501e-05,0.1965470390668976
False,0.0,0.0,0.0,1.0781209999281818e-07,5.3796659796495085e-09,0.4047687127222479
False,0.0,0.0,0.0,5.366294772604217e-08,2.5831463351705767e-09,0.7737142091349186
False,0.0,0.0,0.0,4.755360341670912e-08,2.2751596905701523e-09,0.7977257026300886
False,0.0,0.0,0.0,3.7720858814650946e-33,4.7731306702757414e-35,0.9392288167919096
True,2.0,0.0,96.0,0.48160053598434693,0.15192738346892268,0.6699066939648404
False,0.0,1.0,0.0,1.2800876030304665e-08,5.746146845408165e-10,0.6788766546463512
True,2.0,138.0,191.0,0.6168096422464888,0.4256194202211679,0.17341020703763096
True,2.0,0.0,45.0,0.10679509949892677,0.04354653054173783,0.37979602652324357
False,0.0,0.0,0.0,1.5883728786329128e-09,6.4928919599323e-11,0.1214813101000603
True,2.0,122.0,154.0,0.5551940092756507,0.18420721595959003,0.36290240643534166
False,0.0,1.0,0.0,1.0053758590664384e-27,1.5150438227697668e-29,0.7194799374357647
